Q1,nota,feedback,,Q2a,nota,feedback,,Q2b,nota,feedback,,Q3a,nota,feedback,,Q3b,nota,feedback
"A arte é um resultado cultural, independente da situação em que a cultura se encontra, a arte resiste. São as sátiras em momentos de censura, o canto de escravos, os livros cheios de metáforas. A arte é expressão natural do ser humano, limitar ela, é limitar nossa existência. Precisamos introduzir a oportunidade de experienciar a arte para todos os cidadãos, através do desenvolvimento de politicas para ingressos para eventos de artes, aulas de artes acessivéis a todos, a valorização do artista como profissional.","0,75",Faltou a contribuição,,"A partir do momento em que vivemos em uma estrutura criada para oprimir e categorizar, nossa vida fica a mercê dos efeitos dessa criação. A falta de segurança, a restrição de escolhas, a segurança sobre o próprio valor. O patriarcado estrutural não só muda o lugar onde as mulheres irão começar a corrida, mas também as impede de correrem e mesmo com os avanços históricos, ainda existem marcas na história.","0,25",Prova da stella (impossível descobrir o feedback do professor),,"Estimular durante todo o processo de formação de um indivíduo o relacionamento em unidade entre homens e mulheres. Através de atividades extracurriculares que influenciem o respeito e o olhar de igualdade entre todos. Além da punição com encarceramento, acredito que punições como a perda de bens materiais, como móveis, imóveis, guarda dos filhos, seria uma ótima medida.",1,,,"A população brasileira tem uma cultura que sempre privilegiou pessoas com mais renda, o que não é nenhum motivo de desigualdade, visto que gera lucro.Está enraizado na cultura do brasileiro o comodismo e a romantização do lugar que veio e isso impede a prosperização.","0,35",Só falou sobre a desigualdade,,"Acredita-se que em um consenso não geral, que graças a presença de facções, não é possível realizar tal desenvolvimento, visto que todo aquele território é ""dominado"" por bandidos.",0,Sem proposta
A arte fala muito sobre o que há dentro de nós ,0,,,"Segundo a bíblia, Deus fez Adão e disse ""Não é bom que o homem fique só, fare-lhe uma ajudadora"" e assim da costela de Adão fizeste Eva. Mais pra frente Deus diz ""o homem deixará seu pai e sua mãe e ele e sua esposa se tornarão uma só carne"". Em minha opinião, estas duas citações retratam um relacionamento pleno entre homens e mulheres",0,Sem nexo,,Reestruturação do sistema educacional. Fortalecimento das leis existentes,"0,25",Não houve maiores desenvolvimentos,,"A desigualdade social, evidenciada principalmente nas grandes metrópoles, provocada uma séria divisão na sociedade, onde os mais privilegiados possuem acima a melhores habitações, escolas, faculdades, lazer entre outros. Enquanto que nas periferias, a população sofre com a falta de segurança, saneamento básico, acesso à educaçãoe a riscos ambientais, resultado da falta de infraestrutura adequada para habitação.","0,65",Faltou explicar o meio de risco,,"O acesso à educação é uma das principais formas de se combater a desigualdade. O acesso à escolas, faculdades e instituições de ensino colaboram para o acesso a melhores condições de vida. O acesso ao saneamento básico representa melhoriana condição de vida e saúde em regiões habitacionais precárias. Representa o acesso a dignidade, restabelece a moral e diminui a lacuna causada pela desigualdade social.","0,75",Sem participação da comunidade
"A arte é um instrumento de enfrentamento, tanto na censura quanto na cultura, sempre desafiando dogmas presentes.","0,25",Só falou da arte e cultura,,"O patriarcado é uma ideia tradicionalista que é herdada dos costumes passados, os quais, estão relacionados ao desenvolvimento humano mais imaturo.","0,25",Só falou do patriarcado,,"Uma primeira possível ação do Estado seria a criação de um programa para construir mulheres mais fortes psicologicamente e também fisicamente, em um apoio com o exército brasileiro e toda sua infraestrutura e rotina intensa. Uma outra tratativa poderia ser criar ambientes só de mulheres, onde como exemplo pode-se citar um metrô criado em São Paulo que é único e exclusivamente de mulheres.",1,Padrão ouro,,As pessoas que são atingidas pela desigualdade são pessoas que não tem dinheiro e nem incentivo para melhorar a vida da sua condição e dos colegas,"0,35",Só falou sobre a desigualdade,,"Uma possível ideia seria começar a melhorar a infraestrutura desses locais afim de que não se tornem tão precários, e então a população exgerá que o governo fará tudo que for possível para ajudar. Promover fórums chamando um representante das periferias para dar voz da fala.","0,35",Projetos pouco desenvolvidos
"Partindo do princípio que todo cidadão brasileiro, constitucionalmente, tem garantido o direito de liberdade de expressão, a cultura tende a ser mal vista perante essa tal liberdade. Contudo, existem certos limites que não devem ser cruzados. Segundo a fala popular que diz ""a sua liberdade não pode ser tamanha ao ponto de tirar a liberdade do outro"", deixa claro que é essencial o poder da liberdade, mas até certo ponto. Um brasilieiro que foi muito atacado, chegando até a ser exilado do país, apresenta uma ideia de um partido nazista, utilizando como argumento a liberdade de expressão. O regime nazista tem como principal ideologia a soberania de uma classe ariana, que vai contra, e nesse contexto, acredita-se que a censura e cultura devem repudiar isso.","0,5",Faltaram propostas,,"No contexto dos dias atuais, a mulher acaba por sofrer de algo que está enraizado na comunidade à tempos, o machismo. Acredita-se que as pessoas com a idade mais elevada e pessoas preconceituosas podem realizar esse ato repudioso hoje em dia, porém estatisticamente a mulher tende a lidar melhor com pessoas e homens melhro com coisas, o que talvez justifique um pouco das diferentes desigualdades em questões trabalhistas, porém um homem e mulher que ocupam o mesmo cargo tendem a receber o mesmo salário. Entretando, é possível concluir-se que é uma grande minoria das pessoas ainda executa o machismo na prática.","0,5","Faltou questões culturais, faltou definição de patriarcado",,"A conscientização da sociedade a respeito do patriarcado e como ele se apoia em comportamentos machistas que dividem e segregam a sociedade é uma das formas de se combater a violência contra a mulher, elucidando a sociedade de forma geral sobre os comportamentos e ações provocadas pelo patriarcado. O outro ponto a se destacar está na punição para aqueles que cometem os mais variados tipos de violência. A verdadeira importância para casos de agressão a mulher ainda não foi atingida, verificando-se a recorrência das mais variadas formas de violência diariamente.","0,5",É a mesma proposta,,"A população brasileira atingida pelas desigualdades sociais vivem em áreas de periferia, marcada pela estratificação e segregação socioespacial, por consequência, áreas mais fáceis de ocorrer fenômenos de risco ambiental por sua falta de infraestrutura.","0,5",Faltou violência e explicar melhor área de risco,,"Trazer infraestrutura para as casas dos moradores, como água, luz, gás. E trazer infraestrutura para os arredores das casas, como, ruas decentes, em torno cuidado e entre outros.","0,25",Mesma proposta e sem apoio da comunidade
"A cultura está intrinsicamente ligada aos costumes e vivências de uma sociedade. Cada sociedade possui sua cultura, que é determinada e limitada a forma com que aquela sociedade se expressa e se comunica no cotidiano. Já a arte é uma forma de expressão livre e independente com os mais variados objetivos: criticar, questionar, provocar, etc. A arte consegue se comunicar com as mais distintas culturas e é uma forma de relacionar diferentes povos. A censura é a forma de valor ou limitar a liberdade de expressão. A censura não permite que a arte seja livr, pois impões barreiras na sua forma de comunicação.","0,25",Faltou ___ e duas propostas,,"O patriarcado estrutural impõe regras de convivência  e comportamento entre homens e mulheres. O patriarcado divide comportamentos com base no gênero de cada um. Comportamento, atitudes, formas de pensar e interagir são divididas entre homens e mulheres. Enquanto os homens são responsáveis pela força, proteção, tomada de decisão e autoridade, as mulheres já possuem um caráter de cuidado, zelo, resguardo e delicadeza.","0,5",Faltou questões do trabalho e questões culturais ,,Criação de ambientes somente para as mulheres para elas se sentirem confortáveis sem a presença de homens,"0,15",Pouco desenvolvimento,,"Existe uma clara correlação entre a desigualdade e o fluxo minoritário, indivíduos desfavorecidos tendem a migrar para polos de riqueza com a expectativa de encontrar melhores condições e isso causa o crescimento desenfreado planejado de cidades, consequentemente o âmbito sócio Ambiental é impactado negativamente.","0,5",,,"Incentivar e desenvolver novos polos econômicos no país, desta forma será possível redistribuir(de maneiras planejadas) a população em que se encontras em condições de extrema pobreza. O estado, a comunidade e os órgãos humanitários devem trabalhar de maneiras colaborativas para reduzir os impactos sócios ambientais suas consequências, como por exemplo: Presença de postos de saúde em áreas perecíveis; Fiscalização e tratamento de áreas que propagam doenças(ex esgoto, lixos em locais incorretos, áreas propícias para desenvolvimento de insetos e larvas). Distribuição de cestas básicas e suporte financeiros.","0,75",
"A arte é um prazer indivídual, porém isso não pode extrapolar/ofender direitos de outras pessoas ou culturas. Se isso ocorrer será levado a censura, pois se o prazer de um ofende algo de um bando isso geraria tensões. Partindo do princípio da liberdade, podemos propor uma arte desde que os outros aceitarão e respeitarão o seu ponto de vista, desde que não seja ofensivo. Tudo deverá ser acordado para que os dois lados tenham paz sobre a exposição da arte.","0,25",Faltou a relação com a cultura e as propostas,,"Em relação a desigualdade entre sexos, é uma comodidade histórica e que tem uma conceção errada sobre as mulheres, como se fossem úteis para fazer ações submissas perante ao homem. O patriarcado segue da lógica em que o homem fez tudo que tem importância, logo a partir desse ponto, no subconsciente das pessoas ficou implicito que mulheres são inferiores (desigualdade).","0,5",Faltou divisão do trabalho e questões culturais,,"Mais vigilância nas ruas com câmeras e identificação de movimento ajudariam as mulheres. Ademais, situações de stalkers poderiam ser prevenidas e identificadas para não chegar a nível extremo e por consequência violência sexual. ","0,5",É a mesma proposta,,"Simples, perfil atingido pela desigualdade sofre em diversos quesitos, desde monetário até em infraestrutura, ensino saúde ou saneamento básico, por exemplo. A grande verdade é que o que se fala do investimento nas áreas afetadas da sociedade, ensino, saúde etc, não equivalem ao valor do salário mínimo mais impostos e seus valores absurdos. A pergunta é, para onde vai o valor arrecadado, vista que não completamente para o que de fato necessita investimento, como esses perfis atingidos e sua falha fraca infraestrutura?","0,35","Faltou descrever meio de risco, criminalização e violência",,"Organizações sem fins lucrativos, apoiadas pelo governo, com mão de obra estatal e da comunidade. Programas de voluntariado, com investimentos estatais, visando auxilio e para comunidade em diversos âmbitos sociais.","0,5",
"A arte é uma forma de expressão, de mostrar o que sente, protesto e principalmente liberdade, ela é um presente de todos está presente na constituição, entretando, quandoa liberdade é censurada, por consequência, a arte é censurada. Duas ações educativas seria a primeira maior divulgação das formas artísticas que temos hoje em dia, e a segunda levar ou incentivar pessoas, principalmente crianças, a conhecer ou participar de diversas formas de arte.","0,9",Faltou mais clareza sobre o elemento cultural,,"O patriarcado estrutural auxilia na reprodução da desigualdade, pois é algo que a pessoa cresce com aquela ideia, na maioria das vezes criada com o pai saindo para trabalhar e a mãe em casa cuidadando dos filhos, acredita que assim é para acontecer. Por consequência silenciando a mulher e privando de seus direitos na maioria das vezes.","0,5","Faltou questões culturais, desenvolver moralização e divisão do trabalho",,"Aumentar a pena para crime contra as mulheres, para ver se assim cai o número de feminicídios. Melhorar as medidas protetivas, pais na maioria das vezes não afastam o agressor",1,,,"Grande parte da população pobre brasileira vive em favelas, aonde a estrutura é de extrema má qualidade, além disso essas regiões são aterrorizadas pelo crime organizado e grande parte da população não tem oportunidade de ascensão social. A junção dos riscos ambientais como o desmoronamento e com a ameaça do crime organizado tornam a desigualdade no Brasil um problema evidente.","0,9",Faltou dizer que a causa da moradia em área de risco é a pobreza,,"A ação do governo para melhorar as condições da população mais pobres começa com a educação, a oportunidade que uma boa educação traz para a população é essencial para a melhoria de vida. Outra ação que pode ser essencial para melhoria é a abertura de centros comunitários, aonde a população possa se ajudar com comida e necessidades que todo ser humano merece","0,25",
"Vivemos em um mundo cada vez mais complicado, onde a arte entra em confronto com crenças e fé, até onde podemos assumir o que é arte? Ridicularizar minorias com pretexto artístico. Tema muito complexo.",0,Sem nexo,,"Vivemos em um mundo machista onde infelizmente as mulheres são vistas como objetos, troféus, ou inferiores.","0,25",Só falou de questões culturais,,"O Estado, para combater essas diferentes formas de agressão contra a mulher, deve agir em duas frentes: na fiscalização pesquisar e investigar padrões em sistemas patriarcais formados e ou formação na punição(combate ativo por meio de multas, prisões e leis).",1,,,"Nem todos os cidadãos sofrem da mesma maneira aos fenômenos. Começar citando o local que as pessoas moram. Pessoas de classe médica e alta, costumam ocupar áreas planas, seguras, enquanto os classe baixa, são forçados a ocupar encostas íngremes, margens de rios, áreas contaminadas etc. Além disso, existem outros fatores, mas outro principal é o perfil das pessoas que costumam ser atingidas. Costumam focar em raça/cor, renda, gênero, etc.","0,65",Faltou violência e criminalidade,,"Acredito que a principal maneira de minimizar os riscos, é fazendo com que o governo dê a devida atenção a estes locais, igual dão a um bairro nobre, melhorando assim a estruturação dos edifícios.","0,25",Sem comunidade
"No meu ponto de vista a primeira ação a ser tomada é atuar no ensino básico, demonstrar aos recém ingressados no sistema de ensino, por meio da história e através da analogias(como é do cineasta jean Luc), como a arte influencia a nossa sociedade e sua importância. A segunda medida deve ser o sistema educacional incentivar os grupos que é campeão(descentes, alunos e colaboradores) a se tornarem agentes ativos na fiscalização da liberdade e da expressão.","0,5",,,"Quando um grupo majoritário ou minoritário detém o poder, a tendência é esse grupo empoado criar sistemas, meios e paradigmas para perpetuar este poder.portanto, é de uma suma importância que indivíduos que enxergam a desigualdade entre homens e mulheres(e discordam delas) se coloquem em uma posição de militância militância consentem o coletivo, pois desta forma combater estruturas patriarcais.","0,25",,,"Mudanças em penas, adicionando perpétua, por exemplo e sendo superficial. Agora indo mais afundo, a grande verdade é que nosso sistema de justiça é falho e fraco. Uma revisão do sistema seria algo básico ainda, mas necessário. A mudança penal, adição de consequências mais severas como castração química para crimes de abuso, por exemplo, deveria ser mais abordadas. O ser humano só responde para duas circunstâncias, censura ou chicote, como diria Jeremy Bentham.","0,5",É apenas uma proposta,,"Os fenômenos de risco socioambientais, tais como as periferias inadequadas carregam desde a sua origem histórica uma dificuldade de ascensão social, por serem locais de difícil surgimento de oportunidades, e, além disso, preconceito, dessa forma, com o surgimento improvisado desse tipo de moradia, assim como no livro quarto de despejo, de Carolina de Jesus, uma vez que na favela, torna-se muito difícil de sair dela.","0,35",Faltou criminalização,,"Fator social e ambiental de bairros periféricos torna evidente a necessidade de um controle estatal acerca desses locais, pois há minúscula qualidade de vida lá, afeta diretamente a população dos territórios, o estado tem de intervir regularizando os locais, e, além disso, contratando para auxiliar na obra, os próprios moradores do local, ajudando também, em sua renda fixa.","0,25",Apenas 1 proposta
"A cultura e seus padrões pré estabelecidos e seguidos por muitos, tem sua normalidade desconfigurada pela arte, aonde a mesma tem o direito da liberdade de expressão, gerando descontentamento de grande massa padronizada. A arte busca quebrar a censura dos padrões. A arte no seu interior, deveria ser mais estudada do que apenas sua história ou base de criação. Projetos governamentais que colocam diversos tipos de arte em prática deveriam ser opção clara nas escolas! Desde aula de instrumentos, a teatro, desenho, pintura, dança, esculturas, etc. A quebra do padrão assusta os acostumados e incomoda seus criadores.","0,75",Faltou constituição,,"O patriarcado segue uma linha de pensamentos machistas, que colocam as mulheres em posições de vulnerabilidade em diversos ambientes e temas sociais, ligando vulnerabilidade a fraqueza, limitações (impostas pelo patriarcado), demonstrando, de certa forma, a grandeza dos homens (imposta pelo patriarcado) em diversos pontos como laboral, político, interesses sociais, força corporal e etc, buscando colocar as mulheres num patamar rebaixado, justificando então, a desigualdade entre homens e mulheres.  ","0,5","Faltou questões culturais, divisão do trabalho",,"O estado pode criar leis para proteção da mulher, como já é feito atualmente com a Lei Maria da Penha. Outro método seria a conscientização da população com as desigualdades presentes na sociedade, principalmente por meio da educação.",1,,,"Quando a urbanização é acelerada e não planejada, a população tem de ir para áreas periféricas, na sua grande maioria, sem infraestrutura adequada.e por fenômenos naturais, como a erosão, ocorrem desastres ambientais onde essas pessoas, até então, estavam habitando.assim, acarretando em mortes, desaparecimentos e um impacto gigantesco para as pessoas que viviam naquela região.","0,5","Faltou explicar melhor a pobreza, faltou violência e criminalidade",,"Em questionável a falta de atuação do estado nessas zonas, de risco (periferia), logo, é necessária a atuação do Estado em garantir uma moradia de qualidade como está descrito no artigo 5°, mas a ineficiência do Estado brasileiro, é tão grande, que isso se torna impossível.a segunda seria a diminuição da carga tributária das empresas, para assim fomentar o mercado de trabalho, fazendo com que a população periférica tenha mais oportunidades e consiga sair dessa situação de vulnerabilidade. E é claro, podemos destacar uma mudança profunda na educação básica.","0,25",Sem participação da comunidade
